nomer_material,tipe_material,nama_material,sat,berat,harga material,pasang_rab,bongkar,jenis_material,kategori_material
627,1,Square Washer (517/U/2009),B,20,5541,1449,869,NON MDU,TUNAI
628,1,Coper tube Al/Cu 150 mm2 (SKAT 8) 1 Lubang,Bh,0,139115,0,0,NON MDU,TUNAI
629,1,"Earthing Rod 16 mm 0 2,5 m + clamp (509/U/2009)",S,0,291799,56007,33604,NON MDU,TUNAI
630,1,BC 50 MM,M,18,91011,4056,2434,NON MDU,TUNAI
631,1,Gembok Biasa,B,0,326049,5000,3000,MDU UP3,PLN
632,1,Gembok Electronic,B,1,3786825,20002,12001,MDU UP3,PLN
633,1,"Ground Pipe 3/4"" 0 2750 mm",B,4,169567,14767,8860,NON MDU,TUNAI
634,1,Copper Tube Cu 0 50 mm,B,6,42774,19153,11492,NON MDU,TUNAI
635,1,Relay Murni Indicator OCR 0 DGR,B,1,19578817,559971,335983,MDU UID,PLN
636,1,Power Supply Relay OCR,B,1,1870958,144868,86921,MDU UP3,PLN
637,1,"Pipa PVC 1,5"" 0 4 mtr",B,2,0,0,0,NON MDU,TUNAI
638,1,"Knee PVC 1,5""",B,6,0,0,0,NON MDU,TUNAI
639,1,"Pipa PVC 3/4"" 0 4 mtr",B,5,10447,3477,2086,NON MDU,TUNAI
640,1,"Knee PVC 3/4""",B,8,0,0,0,NON MDU,TUNAI
641,1,Fitting Lampu,B,4,0,0,0,NON MDU,TUNAI
642,1,Lampu LED 3 watt,B,4,0,0,0,NON MDU,TUNAI
643,1,Line Tap Connector Cu 0 50,B,3,58500,13328,7997,NON MDU,TUNAI
644,1,Plat copper 4 x 1 0 panjang 105,B,3,0,0,0,NON MDU,TUNAI
645,1,Heat Shrink 20 kV untuk Plat Cooper,M,3,131910,13001,7801,NON MDU,TUNAI
646,1,Pertinax 110 x 5,pak,2,0,0,0,NON MDU,TUNAI
647,1,Siku 4x4,B,1,0,0,0,NON MDU,TUNAI
648,1,MCB 2 Amper + Kotak MCB,B,1,0,0,0,MDU PUSAT,PLN
649,1,Asuransi Material,Lot,0,0,0,0,NON MDU,TUNAI
650,1,Pemasangan APP 3 Phasa > 200 kVA (SBU),-,0,0,0,0,NON MDU,TUNAI
651,1,Box APP (Powder Coating) Pengukran TM Lengkap kWh Mtr,S,1,0,0,0,NON MDU,TUNAI
652,1,Box APP (Powder Coating) Pengukran TM Lengkap kWh Mtr,-,1,0,0,0,NON MDU,TUNAI
653,1,Terminal Blok 15 Pol 100 A U/Pengukuran TM,0,1,1424482,6001,3600,NON MDU,TUNAI
654,1,"MTR 3P E 57,70400A;0,5;4W",S,1,0,0,0,NON MDU,TUNAI
655,1,Modem GSM GPRS,-,1,1172083,40004,24002,MDU UID,PLN
656,1,Modem GSM GPRS,U,1,1172083,40004,24002,MDU UID,PLN
